Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Domain7,Domain8,Domain9,Domain10,SelfRepHapp
4.4,2.75,1.333333333,3,2.857142857,3.25,3.25,3.2,2.666666667,2,8
4.2,3.25,3.333333333,3.75,3.571428571,4,4.5,3.2,2.666666667,4,7
2.4,1.75,3,3.25,2.428571429,2.5,3.25,2.6,3.666666667,3.75,4
4.4,3,2.666666667,3.5,4.285714286,4.25,5,3.2,3.333333333,3.5,9
3.8,3.75,3.333333333,2.75,3.428571429,4,2.75,3.2,4,4.5,7
2.2,2.25,3,3.5,2.428571429,4,3.25,2.2,2.333333333,2,4
3.8,2.5,2.666666667,3.75,2.142857143,2.75,3.5,2.8,3,4,7
4,3.5,3.333333333,3.5,3,4.25,4.5,3.4,4,4.25,8
3,2,2.666666667,2.25,2.571428571,3.25,2.5,3.2,2.666666667,5,3
3.8,3.75,2.666666667,3.5,3.142857143,3.25,4,3.4,4.333333333,2,7
3.8,4.75,3.333333333,3.25,3.142857143,4.25,3.75,3.2,3.666666667,4.5,8
3.8,3.25,3,3.25,2.714285714,3.5,4,3.4,2.666666667,3.5,7
3.2,3,3.333333333,4.25,3.428571429,4.25,4,2,4,3.5,7
2.8,4,3.333333333,4,3.571428571,3.5,4.25,3.8,4,2.75,6
3,2,3,3,3,3.5,3.5,2.8,2.666666667,1.75,4
4.2,2,2.666666667,4,3.142857143,4,3,2.4,2.666666667,3.25,8
3.2,3,3,2.25,3,3.5,3.75,2.6,3.666666667,4.5,6
4.4,4.25,3,4,3.428571429,4,3.75,3.8,4.666666667,3.25,8
3.2,2.75,3.333333333,2.75,3,3.75,3.75,3,3,3.5,8
3.6,3,3,3.25,3.142857143,3.75,2.25,2.8,3.333333333,3.25,7
4.4,4,3.333333333,2.75,1.857142857,4,3,2.8,4,4,8
3.8,3,2,3.75,2.571428571,3.75,2.5,2.8,3.666666667,4,8
2.8,2,2.666666667,4,2.857142857,4.5,3,1.8,4,4,6
3.4,3.25,2.666666667,2.25,2.714285714,3.75,2,2.8,3.333333333,2.75,8
3,4,4,2.75,2.428571429,3.5,3,2.6,2.666666667,3.5,6
4.2,3.75,3,4,3.428571429,4.25,3.75,2.8,3.666666667,4.5,8
3.6,2.5,3,2.75,3.714285714,4,3,3,3,3.5,8
3.6,4.75,2.666666667,3,3.142857143,3.25,3.25,2.8,2.666666667,4,6
3,4,2.333333333,3.25,3.714285714,3.25,4.25,2.8,4.333333333,4.25,6
4.4,3,2.333333333,3.75,4.285714286,3.75,4.5,2.4,3.666666667,3.75,10
4.6,2.25,2.333333333,4,3.285714286,3.75,4,3.2,3.333333333,4,9
3.4,3.75,4.333333333,3.75,3.142857143,3.5,3.5,3.2,2.666666667,3.75,7
4.4,4.25,3.333333333,3.25,2.714285714,4,4,3.6,3.333333333,3.25,7
3.6,3.25,2.666666667,3.5,3.714285714,3,3.5,3.2,3,2.5,6
4,2.75,2.666666667,3.75,2.857142857,3.5,4,3.6,3,5,7
4.4,3.25,3.666666667,4,2.142857143,3.75,3.75,2.6,3.333333333,4.5,6
4.4,3,4,4,3.285714286,3,3.75,3.2,4,2.25,8
3.8,4,3,3,2.285714286,4,2.25,2.4,3.333333333,3.75,6
3.4,2.75,2.666666667,3.25,3,3,3,2.8,3.666666667,2.75,7
2.8,3.5,3.666666667,3.5,2.857142857,3.25,3.5,2.8,2.333333333,3,3
4.8,4.25,3.333333333,3.5,3.285714286,3,4.5,3.4,4,4,9
3.8,2.75,4,4,2.857142857,4.25,4.5,2.6,3.333333333,4,8
3,2.25,3.333333333,3,3.142857143,3.75,2.75,2.8,1.666666667,2.25,4
3.2,2.75,3.666666667,3.5,2.857142857,3.25,2.75,2,2,5,7
4,3.75,2.333333333,4,4.285714286,3.75,3.5,3.6,2.666666667,4.5,6
4,3,3.333333333,2,3.571428571,3.5,4,3.2,3.666666667,4.25,9
4.4,3.75,3.333333333,4,3.714285714,2.75,4.75,2.8,4.333333333,3,10
3,3,2.333333333,2.75,3,3.75,4.5,3,3.333333333,4.75,6
4,3.5,3.333333333,3.5,4.142857143,4,2.5,2.8,3.333333333,4.25,7
2.8,2.5,3.666666667,3.25,3.142857143,4,3.75,3,3.666666667,3.5,7
3.8,3.5,1.666666667,3.5,3.714285714,3.75,3.75,2.2,3.333333333,3.25,8
4,2.75,3.666666667,4,2.285714286,3.5,4,2.4,4,2.5,6
4.4,3.25,2.666666667,3.5,3.857142857,3.5,2.75,2.4,2.666666667,2.25,6
4.6,2.5,3,4,2.428571429,4,3,3.4,3.666666667,3.75,7
4.4,4.25,3,3.5,2.857142857,4,4,3.4,4.333333333,4.25,8
4.2,2,3,3.25,3.142857143,4.25,4,3.2,3,5,8
3,3.25,3,3.5,3.142857143,3.75,4,3.2,2.666666667,3.25,5
4.2,3.75,2.333333333,3.75,2.714285714,4,3.75,3,4.333333333,4.75,9
3.4,2.5,3.333333333,3.25,2,3.25,4.5,3.2,3,2.75,7
2.8,2.75,3.333333333,4.25,2.428571429,3.25,3.25,3,3,2.75,3
3.4,3.25,2.333333333,3.25,2.571428571,3.75,4,1.6,2,4.75,4
3.4,3.75,2.666666667,2.25,2.857142857,3.5,3,3,2.666666667,5,8
4.6,4,3,4.25,3.428571429,3.25,4.25,3,3.333333333,3.5,8
4,4,2.666666667,3.5,3,3.75,3,3.4,3,4.75,9
2.4,3.75,3.333333333,3.25,2.142857143,2.75,3,3.4,3.333333333,3,5
4.4,3.5,4,4,4.142857143,4.75,3.75,3.6,4,4.25,8
4.6,3.5,3.333333333,4,3.714285714,4,3,3.4,3.666666667,4.5,8
1,1,1,1,1,1,1,1,1,1,1
2.6,2.25,2.333333333,3,2.571428571,3.5,2,2.6,1.666666667,2.75,6
5,3.75,4,5,5,5,5,4.2,5,5,1
3.8,3.5,3.333333333,2.75,2,3.5,3.25,2.2,3.666666667,4.25,7
4,2.75,3.333333333,4.25,2.428571429,4.75,3,3.4,3.333333333,3,6
4.2,3.25,3,3.5,3.428571429,3.75,2.75,2.8,3.333333333,4.5,7
5,3.75,3,3.5,3.857142857,4,5,2.6,3.666666667,1.75,10
4.2,4,3,1.5,2.428571429,4.25,3.5,3,4.333333333,2.75,10
4.6,3,3,3,3.714285714,4.25,4.25,3.4,3.666666667,1.75,8
4.4,3.5,3,4.5,3.571428571,4.25,2,2.6,3.666666667,4,9
3.2,2.25,3,2.75,4.142857143,4.25,3,3,2.666666667,3.75,6
4,3.75,3,3.25,3.714285714,4,2.75,3,3,3.75,6
4.2,3.25,2.666666667,4.25,3.428571429,4.25,4.25,2.6,2.333333333,3.5,7
4.4,4,3.333333333,3.25,2.714285714,4.25,4.25,3.2,4,5,9
2.4,1.75,2.333333333,2,2.571428571,1.25,2,2.2,3.333333333,1,1
